-5.788093 -13.105783 -5.020619 -12.862327 0.024092 0.048138 0.037169 0.038263
3.084897 -7.615524 3.902062 -8.756336 0.016567 0.019633 0.028673 0.092004
1.949433 -15.539153 0.654639 -15.682604 0.016397 0.066826 0.012491 0.054680
-0.530000 -11.021630 0.211340 -11.099654 0.023813 0.044817 0.040296 0.079915
-9.874794 -21.789176 -9.298969 -20.125576 0.116483 0.041372 0.028660 0.024002
-8.778454 -14.002465 -8.226804 -14.376152 0.033740 0.015517 0.046985 0.024398
-6.154124 -22.262402 -6.283505 -21.769009 0.052341 0.048731 0.017103 0.009854
0.990773 -2.578635 1.850515 -1.332373 0.031208 0.019650 0.052043 0.088070
-13.512423 -2.141855 -15.097938 -1.311636 0.009956 0.007013 0.069781 0.033415
-13.774227 -10.395985 -15.242268 -11.467742 0.026117 0.011006 0.059351 0.022546
-16.620773 -4.651279 -17.201031 -5.220622 0.010645 0.004231 0.076450 0.012067
-8.009691 -20.618139 -7.974227 -19.959677 0.100396 0.073425 0.032303 0.024092
-94.736237 -23.960478 5.149485 -26.491935 0.004346 0.032232 0.002623 0.011062
-9.181907 -14.542414 -7.922680 -15.418203 0.049658 0.027592 0.067141 0.032441
-308.765206 -12.555311 -8.278351 -12.623848 0.060545 0.015746 0.076985 0.048147
-15.257835 -14.924291 -16.412371 -14.951613 0.059874 0.021989 0.065628 0.016513
-9.036753 -13.609700 -7.572165 -12.934908 0.047926 0.029081 0.041959 0.020915
-16.808763 -13.431152 -16.886598 -13.774770 0.040858 0.005113 0.060202 0.008262
-5.316598 -21.800271 -3.788660 -21.986751 0.071231 0.057102 0.033501 0.020404
-2.145876 -6.221250 -4.494845 -7.372120 0.016065 0.010388 0.024981 0.054519
-15.063454 -9.335634 -13.273196 -9.290323 0.022924 0.005460 0.067918 0.003765
-7.804433 -10.836031 -8.902062 -9.591014 0.031651 0.060560 0.035910 0.046410
-14.139948 -6.447028 -16.912371 -5.822005 0.015812 0.010126 0.049856 0.031033
-3.954845 -4.164315 -2.922680 -5.127304 0.013214 0.011073 0.064854 0.048763
-0.845103 -15.095997 -0.118557 -15.184908 0.030968 0.051861 0.027748 0.061469
-0.640979 -13.942379 0.360825 -13.883641 0.034566 0.058868 0.037685 0.052495
1.400412 -13.898727 -0.360825 -15.366359 0.018157 0.032794 0.012965 0.076895
-5.465052 -20.976273 -5.835052 -21.240207 0.083320 0.075599 0.023723 0.044652
0.052629 -9.863088 -1.427835 -11.379608 0.009391 0.013656 0.016456 0.052051
-15.481340 -21.461371 -16.448454 -20.716590 0.097368 0.022582 0.032849 0.019498
-16.795309 -19.549338 -16.958763 -19.399770 0.102889 0.014944 0.037867 0.013493
